Item,Year,Area Harvested (ha),Production (t),Yield (kg/ha)
Tomatoes,2010,49755.0,768532.0,15446.3
Tomatoes,2011,51745.0,910978.0,17605.1
Tomatoes,2012,49620.0,683282.0,13770.3
Tomatoes,2013,48340.0,749128.0,15497.1
Tomatoes,2014,43852.0,706200.0,16104.2
Tomatoes,2015,44227.0,701811.0,15868.4
Tomatoes,2016,40967.0,627177.0,15309.3
Tomatoes,2017,40039.0,679807.0,16978.6
Tomatoes,2018,22970.0,464040.0,20202.0
Tomatoes,2019,23780.0,436550.0,18357.9
Tomatoes,2020,17470.0,493720.0,28261.0
Tomatoes,2021,18130.0,500200.0,27589.6
Tomatoes,2022,17170.0,298920.0,17409.4
Tomatoes,2023,17540.0,271520.0,15480.0
